"Site","Day","Month","Year","SurveyDate","Transect","Classcode","Amount","Distance","Latitude","Longitude","Depth_ft","Temp10m","Visibility"
"120 Reef",8,10,2006,"8-Oct-06",1,"bat star",13,30,33.73792,-118.392,28,15,7
"120 Reef",8,10,2006,"8-Oct-06",2,"bat star",5,30,33.73792,-118.392,28,15,5
"120 Reef",8,10,2006,"8-Oct-06",3,"bat star",9,30,33.73792,-118.392,26,15,5
"120 Reef",8,10,2006,"8-Oct-06",4,"bat star",6,30,33.73792,-118.392,21.5,15,5
"120 Reef",8,10,2006,"8-Oct-06",5,"bat star",2,30,33.73792,-118.392,17,15,4
"120 Reef",8,10,2006,"8-Oct-06",6,"bat star",0,30,33.73792,-118.392,17,15,4
"Breakwater",12,10,2006,"12-Oct-06",1,"bat star",50,5,36.61045,-121.894,29,NA,5
"Breakwater",12,10,2006,"12-Oct-06",2,"bat star",50,28,36.61045,-121.894,33,NA,5
"Breakwater",12,10,2006,"12-Oct-06",3,"bat star",20,4,36.61045,-121.894,32.5,NA,5
"Breakwater",12,10,2006,"12-Oct-06",4,"bat star",50,15,36.61045,-121.894,18,NA,5
"Breakwater",12,10,2006,"12-Oct-06",5,"bat star",50,12,36.61045,-121.894,13.5,NA,5
"Breakwater",12,10,2006,"12-Oct-06",6,"bat star",52,30,36.61045,-121.894,19,NA,5
"Casino Point",19,5,2006,"19-May-06",1,"bat star",0,30,33.34917,-118.325,38,16,11
"Casino Point",19,5,2006,"19-May-06",2,"bat star",0,30,33.34917,-118.325,41.5,16,11
"Casino Point",19,5,2006,"19-May-06",3,"bat star",0,30,33.34917,-118.325,35.5,16,9
"Casino Point",19,5,2006,"19-May-06",4,"bat star",0,30,33.34917,-118.325,34,16,9
"Casino Point",19,5,2006,"19-May-06",5,"bat star",0,30,33.34917,-118.325,32.5,16,8
"Casino Point",19,5,2006,"19-May-06",6,"bat star",0,30,33.34917,-118.325,35.5,16,3
"Cathedral Cove",23,6,2006,"23-Jun-06",1,"bat star",0,30,34.0165,-119.368,20.5,20,6
"Cathedral Cove",23,6,2006,"23-Jun-06",2,"bat star",0,30,34.0165,-119.368,19.5,20,15
"Cathedral Cove",23,6,2006,"23-Jun-06",3,"bat star",0,30,34.0165,-119.368,16.5,20,15
"Cathedral Cove",23,6,2006,"23-Jun-06",4,"bat star",0,30,34.0165,-119.368,14,20,15
